status,variant,preset,M,N,throughput_tps,throughput_e2e_tps,points_per_s,loop_ms,total_ms,med_loss_fp64,K_max,n_dropped,frac_converged,frac_failed,skip_reason,est_footprint_gb
ok,fusedfd,late-gen-bloated,4000,1000,22896.6,6391.8,22896598,120.586,431.961,4.32165,8,1239,0.620,0.051,,
ok,fusedfd,late-gen-bloated,4000,10000,2406.4,1746.0,24063612,1138.233,1568.750,43.5591,7,1261,0.616,0.045,,
ok,fusedfd,late-gen-bloated,16000,100,181815.5,29553.9,18181550,60.990,375.213,0.321513,7,4911,0.626,0.054,,
ok,fusedfd,late-gen-bloated,16000,1000,38951.6,18025.4,38951586,284.815,615.464,3.92033,8,4906,0.626,0.052,,
ok,fusedfd,late-gen-bloated,16000,10000,4128.0,3416.4,41280375,2666.400,3221.853,41.8674,7,4993,0.607,0.057,,
ok,fusedfd,late-gen-bloated,64000,100,265946.0,94215.0,26594595,167.038,471.507,0.325553,7,19577,0.628,0.053,,
ok,fusedfd,late-gen-bloated,64000,1000,46820.3,29753.9,46820277,949.119,1493.519,3.74739,8,19562,0.625,0.052,,
ok,fusedfd,late-gen-bloated,64000,10000,5227.7,4356.6,52276978,8467.398,10160.432,40.2693,8,19735,0.614,0.053,,
ok,fusedfd,late-gen-bloated,256000,100,297139.8,182079.9,29713982,596.998,974.254,0.325688,8,78608,0.627,0.053,,
ok,fusedfd,late-gen-bloated,256000,1000,52491.0,42234.9,52490995,3379.323,4199.937,3.77643,8,78616,0.621,0.053,,
ok,revad,early-gen,1000,100,39578.6,2937.8,3957860,22.487,302.953,0.0242528,11,110,0.785,0.012,,
ok,revad,early-gen,1000,1000,13821.2,2545.0,13821183,64.105,348.130,0.192297,13,114,0.771,0.017,,
ok,revad,early-gen,1000,10000,1624.4,1021.8,16243768,532.512,846.554,1.82568,10,135,0.772,0.016,,
ok,revad,early-gen,4000,100,121290.1,11473.6,12129014,29.442,311.237,0.0217685,11,429,0.791,0.015,,
ok,revad,early-gen,4000,1000,36999.1,9225.2,36999116,95.813,384.275,0.183006,13,455,0.786,0.016,,
ok,revad,early-gen,4000,10000,4180.7,2777.7,41806549,837.668,1260.740,2.00425,12,498,0.779,0.019,,
ok,revad,early-gen,16000,100,216530.4,39901.0,21653040,65.704,356.558,0.0195169,13,1773,0.790,0.015,,
ok,revad,early-gen,16000,1000,61731.2,25833.2,61731188,229.819,549.178,0.179563,13,1813,0.785,0.015,,
ok,revad,early-gen,16000,10000,6831.4,5294.2,68314163,2090.635,2697.688,2.04,12,1718,0.796,0.017,,
ok,revad,early-gen,64000,100,318209.3,109137.1,31820933,178.923,521.683,0.0201067,13,7065,0.787,0.015,,
ok,revad,early-gen,64000,1000,77110.7,48311.0,77110683,738.043,1178.014,0.191408,13,7089,0.783,0.016,,
ok,revad,early-gen,256000,100,361333.6,214733.4,36133365,631.001,1061.791,0.0201705,13,27998,0.788,0.015,,
ok,revad,early-gen,256000,1000,77326.5,60081.4,77326538,2950.436,3797.297,0.195371,14,27853,0.790,0.015,,
ok,revad,inner-const-heavy,1000,100,36845.4,3087.6,3684544,26.869,320.642,0.694722,13,10,0.660,0.064,,
ok,revad,inner-const-heavy,1000,1000,12281.7,2670.8,12281695,80.364,369.557,11.312,13,13,0.629,0.068,,
ok,revad,inner-const-heavy,1000,10000,1367.1,928.1,13671339,721.948,1063.424,39.7326,12,13,0.660,0.058,,
ok,revad,inner-const-heavy,4000,100,67276.8,11267.2,6727678,58.787,351.020,0.548429,13,45,0.669,0.053,,
ok,revad,inner-const-heavy,4000,1000,23367.0,8233.7,23367013,169.213,480.223,4.84405,13,46,0.665,0.049,,
ok,revad,inner-const-heavy,4000,10000,2782.0,2127.1,27819976,1422.000,1859.770,41.0101,12,44,0.668,0.048,,
ok,revad,inner-const-heavy,16000,100,156633.1,40698.5,15663311,101.147,389.277,0.533887,13,157,0.667,0.055,,
ok,revad,inner-const-heavy,16000,1000,33430.7,19352.3,33430688,473.936,818.716,4.90464,13,156,0.662,0.055,,
ok,revad,inner-const-heavy,16000,10000,3467.5,3040.7,34674795,4568.160,5209.285,56.0361,13,160,0.673,0.055,,
ok,revad,inner-const-heavy,64000,100,150333.1,83323.5,15033306,421.544,760.554,0.451851,13,628,0.668,0.054,,
ok,revad,inner-const-heavy,64000,1000,36510.2,27267.6,36510154,1735.188,2323.345,5.11494,13,648,0.666,0.053,,
ok,revad,inner-const-heavy,256000,100,212465.7,158347.2,21246568,1193.628,1601.576,0.425166,13,2395,0.671,0.055,,
ok,revad,inner-const-heavy,256000,1000,35875.2,30232.5,35875191,7063.684,8382.068,5.08906,13,2589,0.668,0.052,,
ok,revad,late-gen-bloated,1000,100,34867.2,2192.9,3486716,20.076,319.214,0.318015,7,300,0.620,0.056,,
ok,revad,late-gen-bloated,1000,1000,12319.4,1983.4,12319426,56.902,353.425,4.95091,6,299,0.616,0.052,,
ok,revad,late-gen-bloated,1000,10000,1487.3,863.6,14872804,468.641,807.047,43.0195,7,303,0.628,0.043,,
ok,revad,late-gen-bloated,4000,100,95887.8,8298.7,9588778,28.659,331.136,0.319911,7,1252,0.610,0.056,,
ok,revad,late-gen-bloated,4000,1000,28116.0,6855.5,28115997,99.516,408.142,4.31582,8,1202,0.624,0.052,,
ok,revad,late-gen-bloated,4000,10000,3284.3,1996.6,32843414,846.745,1392.854,43.8139,7,1219,0.617,0.056,,
ok,revad,late-gen-bloated,16000,100,153609.2,29192.5,15360917,72.125,379.516,0.320911,7,4921,0.619,0.052,,
ok,revad,late-gen-bloated,16000,1000,41586.1,17934.1,41586113,266.387,617.707,3.88985,8,4922,0.615,0.052,,
ok,revad,late-gen-bloated,16000,10000,4679.5,3685.3,46795330,2352.158,2986.722,41.9877,7,4993,0.606,0.057,,
ok,revad,late-gen-bloated,64000,100,265154.8,92127.6,26515484,167.585,482.331,0.325001,7,19564,0.622,0.051,,
ok,revad,late-gen-bloated,64000,1000,50887.1,32724.5,50887093,872.264,1356.386,3.73805,8,19613,0.616,0.053,,
ok,revad,late-gen-bloated,64000,10000,5158.6,4346.0,51586390,8567.570,10169.505,40.3114,8,19803,0.613,0.052,,
ok,revad,late-gen-bloated,256000,100,231939.7,150521.8,23193965,764.432,1177.916,0.32507,8,78698,0.620,0.053,,
ok,revad,late-gen-bloated,256000,1000,50179.7,39016.2,50179730,3534.973,4546.420,3.76912,8,78616,0.616,0.053,,
skipped,ad,early-gen,64000,10000,,,,,,,13,,,,memory_ceiling,40.59140761196613
skipped,ad,early-gen,64000,10000,,,,,,,13,,,,memory_ceiling,40.59140761196613
skipped,ad,early-gen,256000,10000,,,,,,,12,,,,memory_ceiling,152.8021622300148
skipped,ad,early-gen,256000,10000,,,,,,,12,,,,memory_ceiling,152.8021622300148
skipped,ad,early-gen,256000,10000,,,,,,,12,,,,memory_ceiling,152.8021622300148
skipped,ad,inner-const-heavy,64000,10000,,,,,,,13,,,,memory_ceiling,40.602515891194344
skipped,ad,inner-const-heavy,64000,10000,,,,,,,13,,,,memory_ceiling,40.602515891194344
skipped,ad,inner-const-heavy,64000,10000,,,,,,,13,,,,memory_ceiling,40.602515891194344
skipped,ad,inner-const-heavy,256000,10000,,,,,,,13,,,,memory_ceiling,162.40995180606842
skipped,ad,inner-const-heavy,256000,10000,,,,,,,13,,,,memory_ceiling,162.40995180606842
skipped,ad,inner-const-heavy,256000,10000,,,,,,,13,,,,memory_ceiling,162.40995180606842
skipped,ad,late-gen-bloated,256000,10000,,,,,,,7,,,,memory_ceiling,105.05386173725128
skipped,ad,late-gen-bloated,256000,10000,,,,,,,7,,,,memory_ceiling,105.05386173725128
skipped,ad,late-gen-bloated,256000,10000,,,,,,,7,,,,memory_ceiling,105.05386173725128
skipped,fusedfd,early-gen,64000,10000,,,,,,,13,,,,memory_ceiling,40.59140761196613
skipped,fusedfd,early-gen,64000,10000,,,,,,,13,,,,memory_ceiling,40.59140761196613
skipped,fusedfd,early-gen,256000,10000,,,,,,,12,,,,memory_ceiling,152.8021622300148
skipped,fusedfd,early-gen,256000,10000,,,,,,,12,,,,memory_ceiling,152.8021622300148
skipped,fusedfd,early-gen,256000,10000,,,,,,,12,,,,memory_ceiling,152.8021622300148
skipped,fusedfd,inner-const-heavy,64000,10000,,,,,,,13,,,,memory_ceiling,40.602515891194344
skipped,fusedfd,inner-const-heavy,64000,10000,,,,,,,13,,,,memory_ceiling,40.602515891194344
skipped,fusedfd,inner-const-heavy,64000,10000,,,,,,,13,,,,memory_ceiling,40.602515891194344
skipped,fusedfd,inner-const-heavy,256000,10000,,,,,,,13,,,,memory_ceiling,162.40995180606842
skipped,fusedfd,inner-const-heavy,256000,10000,,,,,,,13,,,,memory_ceiling,162.40995180606842
skipped,fusedfd,inner-const-heavy,256000,10000,,,,,,,13,,,,memory_ceiling,162.40995180606842
skipped,fusedfd,late-gen-bloated,256000,10000,,,,,,,7,,,,memory_ceiling,105.05386173725128
skipped,fusedfd,late-gen-bloated,256000,10000,,,,,,,7,,,,memory_ceiling,105.05386173725128
skipped,fusedfd,late-gen-bloated,256000,10000,,,,,,,7,,,,memory_ceiling,105.05386173725128
skipped,revad,early-gen,64000,10000,,,,,,,13,,,,memory_ceiling,40.59140761196613
skipped,revad,early-gen,64000,10000,,,,,,,13,,,,memory_ceiling,40.59140761196613
skipped,revad,early-gen,256000,10000,,,,,,,12,,,,memory_ceiling,152.8021622300148
skipped,revad,early-gen,256000,10000,,,,,,,12,,,,memory_ceiling,152.8021622300148
