corpus,problem,cap,gen,mean_K,mean_nodes,K_max
operon,nguyen/4,32,4,8.111,28.253,16
operon,nguyen/4,32,8,9.134,29.202,16
operon,nguyen/4,32,16,9.255,29.701,16
operon,nguyen/4,32,32,8.42,31.163,14
operon,nguyen/4,32,64,7.842,33.403,12
operon,nguyen/4,32,100,8.505,37.45,13
evogp,nguyen/4,32,0,1.715,6.955,7
evogp,nguyen/4,32,1,1.081,5.359,8
evogp,nguyen/4,32,2,1.094,6.198,9
evogp,nguyen/4,32,4,1.764,10.649,9
evogp,nguyen/4,32,8,2.555,18.817,9
evogp,nguyen/4,32,16,2.679,24.582,9
evogp,nguyen/4,32,32,2.368,25.563,8
evogp,nguyen/4,32,64,2.907,27.238,8
evogp,nguyen/4,32,100,2.93,27.09,8
operon,nguyen/5,32,0,6.505,23.127,15
operon,nguyen/5,32,1,6.308,23.104,15
operon,nguyen/5,32,2,5.677,21.362,15
operon,nguyen/5,32,4,5.329,21.355,15
operon,nguyen/5,32,8,6.032,26.114,14
operon,nguyen/5,32,16,5.68,27.003,13
operon,nguyen/5,32,32,5.63,29.726,12
operon,nguyen/5,32,64,6.177,34.789,14
operon,nguyen/5,32,100,6.088,35.732,11
evogp,nguyen/5,32,0,1.715,6.955,7
evogp,nguyen/5,32,1,1.607,6.399,8
evogp,nguyen/5,32,2,1.995,7.166,10
evogp,nguyen/5,32,4,2.307,7.596,12
evogp,nguyen/5,32,8,2.793,9.994,12
evogp,nguyen/5,32,16,5.311,22.133,12
evogp,nguyen/5,32,32,6.968,24.736,12
evogp,nguyen/5,32,64,5.746,26.332,10
evogp,nguyen/5,32,100,5.734,26.342,11
operon,nguyen/6,32,0,6.505,23.127,15
operon,nguyen/6,32,1,5.851,20.24,15
operon,nguyen/6,32,2,5.78,19.569,15
operon,nguyen/6,32,4,6.992,24.138,16
operon,nguyen/6,32,8,7.981,27.785,15
operon,nguyen/6,32,16,8.014,28.037,15
operon,nguyen/6,32,32,9.897,34.89,15
operon,nguyen/6,32,64,11.036,40.19,16
operon,nguyen/6,32,100,11.337,40.908,16
evogp,nguyen/6,32,0,1.715,6.955,7
evogp,nguyen/6,32,1,1.148,5.437,7
evogp,nguyen/6,32,2,0.626,3.85,6
evogp,nguyen/6,32,4,0.884,6.641,6
evogp,nguyen/6,32,8,1.48,12.157,9
evogp,nguyen/6,32,16,2.164,21.582,8
evogp,nguyen/6,32,32,2.181,23.772,8
evogp,nguyen/6,32,64,1.868,27.312,6
evogp,nguyen/6,32,100,0.977,27.584,6
operon,nguyen/7,32,0,6.505,23.127,15
operon,nguyen/7,32,1,5.471,18.65,15
operon,nguyen/7,32,2,4.781,15.592,15
operon,nguyen/7,32,4,5.161,17.174,16
operon,nguyen/7,32,8,8.55,29.953,15
operon,nguyen/7,32,16,9.69,33.58,16
operon,nguyen/7,32,32,9.255,34.996,16
operon,nguyen/7,32,64,9.155,39.885,14
operon,nguyen/7,32,100,9.587,44.623,14
